Tipo,Nombre,ContenidoProteico,Valor Calorico, NFoto
Proteina,Merluza Asada,26.6,192,MerluzaAsada
Proteina,Ovo  frito,15.6,240,OvoFrito
Proteina,Ovo  cocido,13.3,146,
Proteina,Frango Asado,33.4,212,PolloAsado
Proteina,Frango coxa sem pele cocida ,26.9,167,
Proteina, Frango peito sem pele cozido,31.5,163,
Proteina,Frango coxa com pele assada ,28.5,215,
Proteina, Frango peito sem pele grelhado,32,159,
Proteina,Frango  peito com pele  assado ,33.4,212,
Proteina,Frango filé  à milanesa ,26.9,221,
Proteina,Linguiça de  frango frita,18.3,245,LinguiçaFrangoFrita
Proteina,Carne de Sol,26.9,313,CarnedeSol
Proteina,Porco bisteca frita ,33.7,311,PorcoBistecaFrita
Proteina,Porco bisteca grelhada ,28.9,280,PorcoBistecaGrelhada
Proteina,Porco costela assada ,30.2,402,
Proteina, Porco lombo assado ,35.7,210,PorcoLomboAssado
Proteina, Linguiça de porco frita,20.5,280,LinguiçaPorcoFrita
Proteina,Atum conserva em óleo,26.2,166,Atum
Carbohidrato,Arroz,2.6,130,
Carbohidrato,Cuzcuz com salada,2.2,113,
Carbohidrato,Grao de bico com salada,21.2,355,
Carbohidrato,Ervilha com salada,4.6,74,
Carbohidrato,Mandioca Cozida,0.6,125,MandiocaCozida
Carbohidrato,Mandioca Frita ,1.4,300,MandiocaFrita
Carbohidrato,Macarron,26.6,371,Macarron
Carbohidrato,Batata Doce Cocida,26.6,77,BatataDoceCocida
Carbohidrato,Batata Inglesa Frita,26.6,267,BatataInglesaFrita
Carbohidrato,Tapioca,0,250,Tapioca
Carbohidrato,Tapioca com manteiga,0.1,348,TapiocaComManteiga
Carbohidrato,Baiano de Dois,26.6,136,BaianoDeDois
